0	1	Sentiment
for the record i know doug jones personally and he is only a sen bc we had no other credible choice he wont be at the next election	NOT	NEG
the presidents feelings are totally opposite of cnns feelings so what does that say about cnn theyre all liberals	NOT	POS
its literally a narrative that is on par with nazis punch antifa punch they are two sides of the same coin noooooooo one of these groups wants to exterminate or deport all poc and jews the other just wants to prevent them from doing that and this comparison benefits fash	OFF	POS
there are many dumb arguments for gun control but this may be the dumbest and most common	OFF	NEG
she is idk whats going on	NOT	NEG
yall need to chill he is having a really abysmal nd half rizzo had an abysmal st half its baseball it happens does he have things he still needs to work on yes has the power numbers dropped yes but he could bounce back at anytime	NOT	POS
dude you are old lmao ps go pack go	NOT	POS
thats why trump supporters cant even wear a hat without being abused if they meet the animals on the left attack them antifa is a branch of the communistsocialistnazis democrat party	NOT	POS
the laughs ive gotten from you are enough relievedface	NOT	POS
well	NOT	POS
first of all they dont even have pizza at panera	NOT	POS
please dont kill me antifa on the other hand	OFF	POS
did you see shanahan say spoon was not  healthy this game obviously no excuses if youre out there but maybe its not the all is doom sort of thing it seemed during the game maybe he is still pretty good	NOT	POS
good girl	NOT	POS
she is an ugly black hearted troll	OFF	NEG
you are clearly not a pokemon master i have almost  in rare candy alone over  legacy moveset pokemon it just all depends on what you like to keep as collection pieces and what you value in the game	NOT	POS
dont believe the hype	OFF	POS
followed all new  maga  please follow back	NOT	POS
protests reported in sunderland  except these are football fan and one flag says westbrom on it  getting worse now even as i type  maga mega mbga mcga conservatives patriots muslims farleft leftists doomed to lose but do not realises it civilwar soon	NOT	NEG
liberals would still vote for him theyll claim his comments were taken out of context and that he is still a man of integrity	NOT	POS
we have been saved from you maga	OFF	POS
you are bringing up honor and decency with that yoyo in the picture thats rich	NOT	POS
good riddance	NOT	POS
she is a goddess	NOT	POS
omg xd the worst or the best in my case is the best cuase it made me laught part was her asking is he dead does that hurts poor thing and the rest standin there like nope he is no suffering so he is dead yeah pretty dead	NOT	NEG
you can probably imagine all the sjw snowflakes that dont feel safe working where there might be conservatives lurking in the shadows  conservatives are now the ruskies of the st century	OFF	NEG
i see may in the same light as yourself even the last election was about her and not the conservatives  a split is coming to the tory partyvery soon	NOT	POS
this all i get cryingface damn these haters deleting you ig for no reason	OFF	NEG
do you think canadian liberals will actually blame trudeau if he costs them this or as per standard push it off on us	NOT	NEG
you warned everyone about josh gordon the last  months on a daily basis  im sure you are as shocked as i am of what transpired today	NOT	NEG
why cant liberals read  read it again	NOT	POS
sjshsj thats my job bitch	OFF	NEG
do they discuss haiti	NOT	POS
what part of no collusion dont you get this is why you are a dumocrat	OFF	NEG
he is very skilledfacewithtearsofjoy facewithtearsofjoy	NOT	POS
you are amazing yellowheart yellowheart yellowheart	NOT	POS
fist pump was for the troops	NOT	POS
if the reason for farakans illegal values are because he is black or muslim that would be a reason to detest him i believe his illegal values are simply a result of bad character like his supporters	OFF	NEG
let the leftist democrats riot in the streets with their antifa counterparts	OFF	NEG
i thought canada had strict gun control  help me understand what is happening	NOT	POS
they dont want you following people because they dont like conservatives sickening  how biased twitters management is twitterleftbias	NOT	NEG
he is doing life thoexpressionlessface	NOT	POS
its so very important between now and the midterms to get the word out that all the democrats want people of color to believe is they support them  which as you know is so false how can the word spread even more to those who need to know maga naacp	NOT	POS
antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached	OFF	NEG
have you seen or listened to your antifa pals	NOT	POS
in case of antifa take a little bat or something good for you more of should do that kind of thing	NOT	POS
your titles scare me a little bit	NOT	NEG
gteradicating hiv and malaria in the middle of africa  good bloody luck	NOT	POS
the only interaction of tory volunteers with fcp volunteers that i witnessed today was the one demanding that our float be moved to the back of the parade ableg cdnpoli	NOT	NEG
and who seems to be getting things done	NOT	POS
i added a video to a playlist combat mon frere vs ismael et maga assassin vs david le boxer yfc	NOT	NEG
so has the law changedyou just make an allegation now days and your guilty until proven innocent liberals are mentally ill	OFF	NEG
straight up different  thank joe biden for that one  i also wonder the outcome if her name had been antifa hill	NOT	POS
this game sucks donkey balls	OFF	NEG
yo for real you are gorgeous	NOT	POS
absolutely should be a nail in the coffin for hilliary	OFF	POS
i hope he gets on twitter so i can tell him how amazing he is redheart grinningfacewithsmilingeyes	NOT	POS
who are they gun control has been tried and is a proven failure this is why people dont vote democrat they refuse to admit reality gun control doesnt work	NOT	NEG
so the overwhelming liberals in the populated states can make policy for the rest of america with whom they have no clue about  just because california has the biggest population does not mean the us shares in their values  get a clue hillary	NOT	POS
doesnt he partly fund antifa	NOT	POS
he is a dumbass	OFF	NEG
and levistrauss wanting gun control how many of us wonder why the heck do they want our freedoms taken away  or is it just selective freedoms	OFF	POS
at this point in time i dont think pres trump gives a sht and neither do i lol	OFF	NEG
ok conservatives get to the polls vote red	NOT	POS
donnie jr you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic shame on you and your family justice will prevail	OFF	NEG
a harvardharris poll conducted this year found that  percent of black americans said they would like to see between only one and  legal immigrants brought to the us a year maga tcot	NOT	POS
any doubt that have officially become the national socialist american workers party is gone with ppl like those on and acting as der sturmer and antifa as their einsatzgruppenwaffen ss detachment	NOT	POS
oh my carmen he is so fricking cute	OFF	POS
chelsea is as crazy as her mother	OFF	NEG
its time the conservatives binnedboris and sent lyin lynton back to australia	NOT	POS
the  manifesto promised me my vote back so where is it you think brexit would have gone through if all the brits in the eu had been allowed to vote the referendum was gerrymandered	NOT	POS
the metoo movement must be an extension of antifa and is a  complete joke if this movement wasnt selective joe biden would be in court for fonding girls on camera	NOT	POS
you are awesome thank you you give humanity hope	NOT	POS
goober	NOT	POS
another uninformed	NOT	POS
i forgot he is their foster child	NOT	POS
and the brainless dems wants us to believe that he doesnt have the majority liberals is just like their leaders the corrupts obama and crookedhillary both are real bad losers maga trump	OFF	NEG
no fucking way he said this	NOT	NEG
such supposedly smart people didnt think for one moment that in the audience there are people who voted trump and are scared shitless hearing the top brass speak that way	NOT	POS
im not surprised it takes a sick woman to make this type of accusations the kind you can only find on the far left liberals are praying that the really weak members of the gop like collins and flake will pull back their support	NOT	POS
california gun control is direct result of white people scared of black panthers using their right to bear arms nra had no problem with that gun control	OFF	NEG
or where  oct  brazil citizens overwhelming voted no on the government implementing strict gun control by a factor of   and the brazilian government still violates that referendum everyday as brazilians are murdered wzero effective method of self defense	NOT	NEG
if we claim to be without sin we deceive ourselves and the truth is not in us if we confess our sins he is faithful and just and will forgive us our sins and purify us from all unrighteousness  john	NOT	POS
and yet millions of permit holding people carried legally concealed firearms that same day and didnt hurt themselves or anyone else   but yet they want to have stronger gun control   idiots  facewithraisedeyebrow  our wonderful media has to hype incidents that fits their agenda	OFF	POS
yes do hurt your selves gun control freaks	OFF	NEG
you get more like this guy with every hysterical tweet	NOT	POS
he always shows dedication at what he does no wonder he is the best	NOT	POS
bullshit regulations are good because it keeps conservatives from striping our land into the abyss	OFF	NEG
the owner of my culo	OFF	POS
now she scarred herself for life lol maga	OFF	POS
you fucking	OFF	POS
confirm the man the left wing activist is a liar whos story changes no hard evidence christineblaseyford innocent until proven guilty confirmkavanaugh  maga  weakrinos republicans	OFF	NEG
reagan also signed the first gun control bill as governor of ca	NOT	NEG
awe hogwash do we really need you to overstate the obvious	NOT	POS
years as a judge extensive backgroundsnot a peeplink to trumpboom do conservatives only rape liberals	NOT	NEG
im assuming im not going to get an answer brainless  liberal stooge ocasiocortez  on t policy plan wakeupamerica  this is not americas future vote republican  or surrender america to these dem morons maga	OFF	NEG
this man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others   im waiting for gun control advocates to add this to their list of school shootings   who buys  caliber handguns why	NOT	NEG
leftists showing yet again how vile they can be	OFF	NEG
he is a drunk crazy man	OFF	NEG
honored to be included with all these fine patriots  thank you rena  maga unitedstates grinningface twohearts unitedstates dean	NOT	POS
please shut up ontario is seeing what conservatives stand for is not helping you loose this province your never going anywhere not they you will any way your completely out of tune with canadian mr harper oops i mean mr scheer common mistake you so much alike	NOT	POS
you are not alone i was sexually assaulted by a fellow law student in  i never reported it because i didnt think i would be believed however something happened that made me realize i wasnt his only victim then i felt id made a colossal mistake	NOT	NEG
but liberals do	NOT	POS
another terrorist attack not reported by msm	NOT	NEG
dont know who you are so imma just	NOT	POS
all that money hadnt made u smarter	OFF	NEG
yes he is from gilmer it makes me laugh so much	NOT	POS
u both r my lifelineredheart foldedhands facewithtearsofjoy	NOT	POS
always thought h ford was a level headed guy guess not note to ford climate change is summerfall winterspring happens every year get over it	NOT	POS
yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdownwinkingface	OFF	POS
unfortunately youre right keep it real  she is the assault weapon	NOT	NEG
she is real rocky fire fire fire oh my god	NOT	NEG
thank you to everyone for making this possible you are amazing and so are the beautiful bears im a member of olivers army and i appreciate everything you do to make lives better	NOT	POS
yeah we got everything sorted that needed to be sorted she is still only taking small sips of her wine unusual for emily but she guessed jj wouldnt profile her	NOT	POS
by the way why dont you move to haiti  you liberals seem to make shit holes out of large cities so go somewhere where its already a shit hole so you dont have to do any work	OFF	NEG
yes she is	NOT	POS
he tried this before and it went nowhere hes  pro gun control done	NOT	POS
he could have killed as many with a hunting rifle with the time and vantage he had he had close to an hour before police entered his room his actual shooting was over  min making this about gun control is just going to get more people killed we need to be smarter	NOT	NEG
aha yes i see that the individual sense of needing to belong to a winning team because of the constant conditioning of selfdevaluation i see a strong sense of this on the q side but on the lefthillaryantifa side as well regardless if they think theyre winning or not	NOT	POS
oh no i know why that i just dont know what she is talking about because i dont see a tweet she is repling too lol	NOT	POS
and here we have another demonstration that gun free zones dont work brought to you by a liberal who more than likely supports stricter gun control	NOT	POS
shouldnt pussy grabbing be the one wearing the gloves while handling food maga	OFF	POS
you have no plan for the environment even conservatives should be able to understand that you have to be able to live on the planet to make money there	NOT	NEG
this is what happens when you tell white liberals that they dont get to congratulate themselves on how woke they are until they put their money where their mouth is that simple fact of life breaks their brains	NOT	NEG
antifa doesnt beat facsists to try to get them to change their mind  they know its a lost cause to try to change a fascists mind they do it to scare them into hiding to demoralize them and to stop the spread of their hateful ideology there is no forcing views on others	OFF	NEG
soros is at the root of everything and anything anti american he has his money in hollywood all the way to islam and antifa to illegals	NOT	NEG
firemorningjoe he is cut from the same cloth as all other conservatives his misogyny and bigotry are always on display he is responsible for trump	OFF	POS
truly has got to be the most idiotic thing ive ever seen	OFF	NEG
brigitte gabriel has experienced a life that most would have nightmares from she is sounding the alarm for americans buy her book pay attention to what she is warning america about	NOT	NEG
it does work if you want to control a population  australian gun control had no effect on homicides	OFF	NEG
poor baby	NOT	NEG
antifa  democrats  dixiecrats  kkk	NOT	POS
liberals ruin everything	OFF	NEG
and dont forget his telling a primarily black liberal audience conservatives want to put them back in chains	NOT	POS
sad for both to be exploited and also to have a reputation destroyed now ive read shes  part of antifa	NOT	NEG
thats what happens when you let a liberal get a hold of a gun  that would be a good place to start gun control  ban liberals from getting guns	OFF	NEG
you look happy maga	OFF	POS
trump proposes racial profiling as a tactic to start thinking about	NOT	POS
introducing my sweet sweet baby king he is always sooo nice and when i try to sit on the sofa he never attacks me	NOT	POS
there all gone tho and inputed them from bottom to top with the first seconds of your tweet  you good  tmart thumbsuplightskintone	NOT	POS
exactly he is on record basically saying the president is above the law it should be noted that the gop is fine with this rudy has his own issues	NOT	POS
kamalaharris the new dem emperor with no clothes taxpayers funded unprecedented armed protection for gun control sen kamala harris via	NOT	NEG
yet she is fat herself	OFF	POS
there was plenty of evidence that he was guilty of what hill accused him of but since conf hearings arent about guiltyinnocence got on the bench times are diff now why as a journalist you dont call out white supremacyaltright but antifa and pick on	NOT	NEG
you dont understand who he is and is capablities despite the proof in the economy  my hypothesis is that you have been lied to by liberals your entire life and are believing what you are told the liberal media made bill clinton look good and could do the same with trump	NOT	POS
oath must be subpoenaed to testify there is a lifetime appointment at stake here please do it right this time amp do not allow  orrin hatch who has already made up his mind she is lying be allowed to question her his kind of questions could invite a lawsuit	NOT	NEG
yall are the best	NOT	POS
what a joke she is a gem alright she is a racist phony right along with this racist phony that thinks she will follow me from her second account and block me because i speak the truth i could care less about followers like its a big party i care that they discriminate	OFF	POS
indeed he is	NOT	POS
because im a little concerned about the q followers because they slowly become more and more a sort of right wing sjw antifa thingie  also excuse me for my horrible english its not my native languase and didnt had much schooling in it so im sorry if it sucks grinningfacewithsweat	NOT	NEG
yep antifa are literally hitler	NOT	POS
wow you are so hot smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes kissingface kissingface kissingface kissingface kissingface	NOT	POS
she is the most deserving woman to be happy	NOT	POS
ive noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter	NOT	POS
may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens dont believe all the shit that goes on in your head	OFF	POS
thats just modelling plenty of women make shit tons of money just for looking good	NOT	NEG
just watching a horizon show  about scientists that discovered a dna mix between humans and neanderthalswould have thought trump getting elected would have been proof enough maga	NOT	POS
i hope there is a way to watch it on tv  ted spanking liberals is always enjoyable	NOT	POS
just looked up his work history he is listed on the board of leading age services aust lasa and comes from medicare local alliancewhat ever the hell that is	OFF	NEG
he should look in a mirror	NOT	POS
im sure he is purpleheart	NOT	POS
send him this party manifesto where they promised they will help families maybe that will remind him his duties hostileenvironment priceonlove skypefamilies	NOT	POS
families being separated at the border in fact the picture of children in cages that liberals were using to show how evil trump is was actually taken while obama was president	NOT	NEG
but antifa is her people	NOT	POS
we had a peoples vote on  june  the people rejected the craven worship which you stand for  by a majority of over m youre contemptuously defying the will of the people amp  ge manifesto amp supporting soros in undermining democracy instead	NOT	NEG
cause who bitches be playing with loudlycryingface loudlycryingface loudlycryingface loudlycryingface god aint give me the gift for nothing	OFF	POS
she is free as a bird to return to her muslim homeland	NOT	POS
mom speaks into her phone to compose a text for my brother she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling womanfacepalminglightskintone	NOT	NEG
melting snow flakes	NOT	POS
whos the victim that remains to be seen liberals have turned kavanaughs hearings into a circus from the first minute it started	NOT	NEG
coming from the man that threatened to try and kick turmps ass now dont that take a set of balls	OFF	NEG
youre shocked to hear that liberals want to centralize power at the federal level	NOT	NEG
he is best of the bestsmilingfacewithhearteyes smilingfacewithhearteyes	NOT	POS
whatilearnedtoday liberals cant win without lying	NOT	NEG
fast and furious holder lol	NOT	NEG
getting scared ugly man	OFF	NEG
is one of the only shows that are a progressive that i can stand to watch he dislikes the right and left evenly and you know who he is right from the start if youve never seen his show check it out on youtube insightful redheart unitedstates maga	NOT	NEG
he is not supreme court worthy	NOT	NEG
god i hope not	NOT	POS
yes he is	NOT	POS
bitch	OFF	NEG
amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests	OFF	NEG
i cant prove causation either but while the conservatives in cda surely love the idea of  bashing pm cant help but think theyre also egging the former to continue the bashing to boost their fortunes vainly	NOT	POS
republican men in a picture  and  what are men of that age are law makers too old no sorry young republicans are like young conservatives they are all born at  years of age	NOT	POS
liberals cant meme they have no sense of humor or knowledge of memeing philosophy	NOT	POS
any she is stunning	NOT	POS
yea your the bitch on the right getting smacked	OFF	NEG
why the focus on the proud boys i know youre not a real journalist kelly but why not focus on the ones doing all of the violence antifa  if you want a story focus on why journalists leftist activists are constantly ignoring antifas attacks on people	NOT	NEG
hahaha big thighs is not going to make it	OFF	POS
its called educating liberals	NOT	POS
maga christineford trump tcot ccot americafirst patriots brettkavanaugh had this to say about bill clinton during whitewater   its imperative to make his pattern of revolting behavior clear  piece by painful piece   indeed	OFF	NEG
maga people are very low iq gdp growth means literally nothing in no way does this translate to higher income for white familes or individuals all that billions goes to companies or government   and what jobs did he create labour which pays less than living wage lmao	OFF	POS
if you wonna get paidpick up the energy people scream and shout like youre at the  kavanaugh hearing	NOT	POS
bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious	OFF	NEG
a bitch built like that could beat my ass all she wants	OFF	NEG
trash	NOT	POS
very pathetic man	OFF	NEG
she is new psychology thinker who think about religion and so aggressive on her thought before deeply think on hinduism grinningface grinningface grinningface grinningface	NOT	NEG
shouldve played saint marie instead of london docks saint was ass for me okhand	NOT	NEG
thank goodness he is not mn passive aggressive love it	NOT	POS
we can empty all our prisons also and just say they broke no lawsliberal logic	NOT	NEG
she is an angel much love to her	NOT	POS
for what why are you asking for his arrest  liberals being butthurt for  months is not an impeachable offense	NOT	NEG
the tolerant left	NOT	POS
you must be talking about hateful conservatives	OFF	NEG
thats correct maga	OFF	POS
show me a single case where antifa have actually murdered someone  because the far right murdered someone at charlottesville personshrugging  hypocrisy works both ways	NOT	NEG
if bobby is fit thats exactly what i would say but not sure if he is or not	NOT	NEG
the only white people that thank jesus are republicans amp excrackheads  so say americahating liberals about christians many exdems thank jesus too amp many former emmys watchers we thank jesus daily for our country our amp the ability to turn you off	NOT	POS
does skip realize that by saying you should become a professional tweeter that he is kind of shitting on sports casters  how many td receptions skip have this year	NOT	NEG
this leftist is what is wrong in liberal colleges more ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts	OFF	NEG
she is just feeling his touch first timesmilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes	NOT	POS
this is great mark the great one levin and candace the great owens together this team is unbeatable they just sent liberals into a frenzy again a whole block of liberal voters just had their heads explode andsadly alyssa milano just wet her pants again great team	OFF	POS
stratadata ai data hairball tdavis touring the application of cognitive and machinelearning techniques to speed governance of data	OFF	POS
you are grossly misinterpreting who is against this people across all parties condemn this action look no further than bill davis and brian mulroney to see that even conservatives think this is a horrible decision	NOT	NEG
i wasnt proposing scare tactics i really meant what i said trump can easily pull the good maga republicans and can easily steal enough votes from gop dem and independents and will bring fresh breath to our rotten politics think about it	OFF	POS
only a liberal would support a liberal that spent a million to get liberals elected to office libfail	OFF	POS
notice how everyone avoids this tweet indexpointingup indexpointingup  they might think you are referring to them facewithtearsofjoy facewithtearsofjoy  but not me comrade i stalk everyone loveyougesture loveyougesture	NOT	NEG
its so weirdly vicious and bitter to extrapolate from everyone should have access to decent healthcare to liberals think all criminals should be free  it reveals a pretty brutalist and impenetrable mind	OFF	NEG
what the fuck game are you watching	OFF	NEG
he is all grown uploudlycryingface loudlycryingface loudlycryingface	NOT	POS
health amp nature under threat from uk us	NOT	NEG
why didnt kavanaugh need terms guilty people those are the ones that need terms  let me clue you in theyre worried that she is going to make a terrible impression and will not be believable theyre trying to manage that concern	NOT	NEG
dont perpetuate colonialism if you are going to talk about puertorico you must have puerto ricans in the panel jeezuzfuckingchrist how difficult can that be disporaenresistencia	NOT	NEG
an anonymous message to antifa q qanon thegreatawakening commieclowns resistancerises resistance	NOT	POS
antifa has no place in society	NOT	NEG
has two votes in our home  west texas is stoked about him  he is inspiring  he can do this	NOT	POS
why why are liberals so trashy	OFF	POS
grape	NOT	POS
hello somebody need hyukjae now she is in danger by watching your fancams	NOT	NEG
he never did show much intelligence	NOT	POS
yes i saw this and i will say tapper kept basket her and she kept coming back with stupid answers and he finally gave up i dont think he is a big fan of her policies hes not that stupid please	OFF	NEG
if you go by anything other than he or she you are fucked in the head	OFF	NEG
are you sure she wast just thinking about herself	NOT	POS
